# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 对于 foundation / baseline1，WCRT 为确定性原始 WCRT；对于 baseline2，WCRT 为概率 WCRT 的统计值。
# ASIL 分组里的 wcrt_ratio 表示 WCRT/周期；signal_detail 里的 WCRT 列统一是原始 WCRT（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202648_205012\retry\msg_M6_5ecu_225signals_tab.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
foundation	0.75136400000000003	0.75136400000000003	225	55
baseline1	0.79713599999999996	0.79713599999999996	225	155
baseline2	0.43047607186400927	0.4304759999999998	225	0

# 按 ASIL 分组统计的 WCRT/周期 的 P95 结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	170	0.0027266352941176485	0.019800000000000002
foundation	B	24	0.0025633333333333328	0.0083199999999999993
foundation	C	21	0.0069180952380952362	0.041599999999999998
foundation	D	10	0.030188	0.0436
baseline1	A	170	0.0027893411764705897	0.019800000000000002
baseline1	B	24	0.0027975000000000001	0.0083199999999999993
baseline1	C	21	0.0073657142857142793	0.041599999999999998
baseline1	D	10	0.030207999999999995	0.0436
baseline2	A	170	0.076419741176470657	0.17979999999999999
baseline2	B	24	0.071364666666666646	0.14963999999999994
baseline2	C	21	0.10678666666666665	0.1764
baseline2	D	10	0.15385599999999999	0.27359999999999995

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	170	1.2648705800466158e-08	1.8791999823430371e-08
foundation	B	24	1.416758022976651e-16	1.7817926161382334e-16
foundation	C	21	1.4106830230270673e-16	1.7782934157049557e-16
foundation	D	10	1.3032187050286885e-16	1.6488230188093269e-16
baseline1	A	170	5.1744706564815334e-09	1.8791999823430371e-08
baseline1	B	24	1.5508940204389742e-16	2.0943878096900196e-16
baseline1	C	21	1.6464346751751699e-16	2.7662341939919932e-16
baseline1	D	10	1.3035103050249407e-16	1.6517390187718504e-16
baseline2	A	170	4.4783784523909108e-14	2.2759572004815709e-13
baseline2	B	24	2.7755575615628914e-17	1.1102230246251565e-16
baseline2	C	21	1.7570171470910163e-15	3.6453270879061277e-14
baseline2	D	10	2.5528391845589145e-14	3.6453270879061277e-14

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	170	0
foundation	B	24	24
foundation	C	21	21
foundation	D	10	10
baseline1	A	170	100
baseline1	B	24	24
baseline1	C	21	21
baseline1	D	10	10
baseline2	A	170	0
baseline2	B	24	0
baseline2	C	21	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为原始 WCRT（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms
foundation	3447370624	A	0	0	20	0	4	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	3467662185	A	0	0	20	0	4	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	3525899400	A	0	0	20	0	2	1	0	1.4471999895280609e-08	1	0.053600000000000002	1.4471999895280609e-08	0.053600000000000002
foundation	3621891665	A	0	0	20	1	0	1	0	1.3391999910327171e-08	1	0.049600000000000005	1.3391999910327171e-08	0.049600000000000005
foundation	3760392648	A	0	0	20	1	0	1	0	1.3391999910327171e-08	1	0.049600000000000005	1.3391999910327171e-08	0.049600000000000005
foundation	3860785395	A	0	0	20	1	3	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	4094471106	A	0	0	20	2	0	1	0	1.3391999910327171e-08	1	0.049600000000000005	1.3391999910327171e-08	0.049600000000000005
foundation	4116403690	A	0	0	20	1	2	1	0	1.4471999895280609e-08	1	0.053600000000000002	1.4471999895280609e-08	0.053600000000000002
foundation	4173219682	A	0	0	20	4	2	1	0	1.6631999861688291e-08	1	0.061600000000000002	1.6631999861688291e-08	0.061600000000000002
foundation	4215399335	A	0	0	20	1	0	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	258421270	A	0	0	50	1	3	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	716334265	A	0	0	50	3	2	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	886821176	A	0	0	50	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	919076367	A	0	0	50	0	1	1	0	1.2311999924207329e-08	1	0.045600000000000002	1.2311999924207329e-08	0.045600000000000002
foundation	938601015	A	0	0	50	1	2	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	1533040048	A	0	0	50	1	0	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	1545622080	A	0	0	50	0	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	1798843089	A	0	0	50	2	3	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	2253845728	A	0	0	50	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	3279893664	A	0	0	50	2	1	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	3419175526	A	0	0	50	0	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	4216568460	A	0	0	50	2	1	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	4229556178	A	0	0	50	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	78183922	A	0	0	100	1	2	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	363100819	A	0	0	100	3	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	524297656	A	0	0	100	1	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	528112619	A	0	0	100	1	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	559759922	A	0	0	100	1	3	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	604581114	A	0	0	100	1	2	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	822036725	A	0	0	100	3	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	841654069	A	0	0	100	2	3	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	926531372	A	0	0	100	2	1	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	1088300852	A	0	0	100	1	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	1118149584	A	0	0	100	1	3	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	1376462981	A	0	0	100	1	0	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	1508596794	A	0	0	100	1	0	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	1533595252	A	0	0	100	0	2	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	1605488496	A	0	1	100	0	1	1	0	1.2311999924207329e-08	1	0.045600000000000002	1.2311999924207329e-08	0.045600000000000002
foundation	1608883955	A	0	0	100	3	0	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	1681214149	A	0	0	100	3	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	1698483980	A	0	0	100	4	3	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	1756216781	A	0	0	100	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	1815708448	A	0	0	100	1	0	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	1859301127	A	0	0	100	2	1	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	1860621852	A	0	0	100	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	2070695494	A	0	0	100	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	2097008076	A	0	0	100	0	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	2132539287	A	0	0	100	1	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	2134402776	A	0	0	100	3	1	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	2288396005	A	0	0	100	3	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	2290453159	A	0	0	100	2	3	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	2422363360	A	0	0	100	4	2	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	2428397613	A	0	0	100	2	3	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	2437796450	A	0	0	100	2	1	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	2446670854	A	0	0	100	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	2474614560	A	0	0	100	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	2516197425	A	0	1	100	1	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	2645834907	A	0	0	100	2	1	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	2782421624	A	0	0	100	0	1	1	0	1.2311999924207329e-08	1	0.045600000000000002	1.2311999924207329e-08	0.045600000000000002
foundation	3135315022	A	0	0	100	2	1	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	3237024432	A	0	0	100	1	2	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	3349462166	A	0	0	100	2	0	1	0	1.8791999823430371e-08	1	0.069599999999999995	1.8791999823430371e-08	0.069599999999999995
foundation	3366880754	A	0	0	100	0	3	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	3401908672	A	0	0	100	2	1	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
foundation	3443086970	A	0	0	100	0	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	3544157914	A	0	0	100	1	3	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	3549069885	A	0	0	100	0	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	3578559950	A	0	0	100	0	1	1	0	1.2311999924207329e-08	1	0.045600000000000002	1.2311999924207329e-08	0.045600000000000002
foundation	3750157913	A	0	0	100	0	1	1	0	1.2311999924207329e-08	1	0.045600000000000002	1.2311999924207329e-08	0.045600000000000002
foundation	3836448027	A	0	0	100	0	1	1	0	1.2311999924207329e-08	1	0.045600000000000002	1.2311999924207329e-08	0.045600000000000002
foundation	3972935248	A	0	0	100	1	2	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	4028126748	A	0	0	100	1	2	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
foundation	4076095658	A	0	0	100	2	4	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	4149509099	A	0	0	100	1	2	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
foundation	4272981024	A	0	0	100	1	0	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
baseline1	145291079	D	3	0	1	1	3	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	614685431	D	3	0	1	4	2	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	1485650330	D	3	1	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777776e-15	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	1778470101	D	3	0	1	2	0	2	1	1.3857998236863647e-16	2.7777777777777776e-15	0.0436	1.3857998236863647e-16	0.0436
baseline1	3618917042	D	3	1	1	3	0	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	4063005593	D	3	0	1	2	0	2	1	1.3857998236863647e-16	2.7777777777777776e-15	0.0436	1.3857998236863647e-16	0.0436
baseline1	2486704225	D	3	0	2	1	2	2	1	1.2615782258299533e-16	5.5555555555555552e-15	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	4251812955	D	3	0	2	0	1	2	1	1.1431886277770274e-16	5.5555555555555552e-15	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	290648546	D	3	0	5	1	0	2	1	1.5158534213368129e-16	1.388888888888889e-14	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	3991608196	D	3	0	10	2	0	2	1	1.6517390187718504e-16	2.7777777777777781e-14	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	3056872340	C	2	0	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777774e-14	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	1516648366	C	2	0	2	1	0	2	1	1.1431886277770274e-16	5.5555555555555549e-14	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	1035949382	C	2	0	5	2	1	2	1	1.2615782258299533e-16	1.388888888888889e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	2081522424	C	2	0	5	0	2	2	1	1.2615782258299533e-16	1.388888888888889e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	2888072604	C	2	1	5	0	2	2	1	1.2615782258299533e-16	1.388888888888889e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	3267995113	C	2	0	5	2	3	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	4232437735	C	2	0	5	3	1	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	32603144	C	2	0	10	0	2	2	1	2.0943878096900196e-16	2.7777777777777779e-13	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	1673499897	C	2	0	10	0	1	2	1	2.7662341939919932e-16	2.7777777777777779e-13	0.061600000000000002	2.7662341939919932e-16	0.061600000000000002
baseline1	2056195474	C	2	0	10	0	2	2	1	1.2615782258299533e-16	2.7777777777777779e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	2996300767	C	2	0	10	4	2	2	1	2.7662341939919932e-16	2.7777777777777779e-13	0.061600000000000002	2.7662341939919932e-16	0.061600000000000002
baseline1	3362915061	C	2	1	10	2	0	2	1	1.3857998236863647e-16	2.7777777777777779e-13	0.0436	1.3857998236863647e-16	0.0436
baseline1	3460769802	C	2	1	10	1	0	2	1	1.6517390187718504e-16	2.7777777777777779e-13	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	4150613546	C	2	0	10	2	3	2	1	1.1431886277770274e-16	2.7777777777777779e-13	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	795496312	C	2	0	20	1	3	2	1	1.6517390187718504e-16	5.5555555555555559e-13	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	950242904	C	2	0	20	2	1	2	1	2.0943878096900196e-16	5.5555555555555559e-13	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	1592905069	C	2	0	20	2	0	2	1	1.3857998236863647e-16	5.5555555555555559e-13	0.0436	1.3857998236863647e-16	0.0436
baseline1	2282999364	C	2	0	20	3	0	2	1	2.0943878096900196e-16	5.5555555555555559e-13	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	2529614654	C	2	0	20	4	1	2	1	1.3857998236863647e-16	5.5555555555555559e-13	0.0436	1.3857998236863647e-16	0.0436
baseline1	2551445896	C	2	0	20	0	1	2	1	2.7662341939919932e-16	5.5555555555555559e-13	0.061600000000000002	2.7662341939919932e-16	0.061600000000000002
baseline1	2881154222	C	2	0	20	1	3	2	1	1.6517390187718504e-16	5.5555555555555559e-13	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	1480296070	B	1	1	5	2	1	2	1	1.2615782258299533e-16	1.388888888888889e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	358619778	B	1	0	10	1	2	2	1	1.5158534213368129e-16	2.7777777777777779e-13	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	526552833	B	1	1	10	2	1	2	1	2.0943878096900196e-16	2.7777777777777779e-13	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	578124656	B	1	0	10	2	1	2	1	2.0943878096900196e-16	2.7777777777777779e-13	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	1387422282	B	1	0	10	4	1	2	1	1.2615782258299533e-16	2.7777777777777779e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	2185834201	B	1	0	10	2	0	2	1	1.6517390187718504e-16	2.7777777777777779e-13	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	2974949657	B	1	0	10	2	1	2	1	1.3857998236863647e-16	2.7777777777777779e-13	0.0436	1.3857998236863647e-16	0.0436
baseline1	3281805124	B	1	1	10	4	0	2	1	1.1431886277770274e-16	2.7777777777777779e-13	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	3739933945	B	1	0	10	2	1	2	1	2.0943878096900196e-16	2.7777777777777779e-13	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	458718453	B	1	1	20	2	1	2	1	1.3857998236863647e-16	5.5555555555555559e-13	0.0436	1.3857998236863647e-16	0.0436
baseline1	749399797	B	1	0	20	1	4	2	1	1.2615782258299533e-16	5.5555555555555559e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	805035513	B	1	0	20	1	2	2	1	1.7934566159820297e-16	5.5555555555555559e-13	0.049600000000000005	1.7934566159820297e-16	0.049600000000000005
baseline1	2511906212	B	1	0	20	3	0	2	1	2.0943878096900196e-16	5.5555555555555559e-13	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	3015183690	B	1	0	20	2	0	2	1	1.6517390187718504e-16	5.5555555555555559e-13	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	3459441748	B	1	0	20	2	0	2	1	1.6517390187718504e-16	5.5555555555555559e-13	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	3537117971	B	1	0	20	1	0	2	1	1.6517390187718504e-16	5.5555555555555559e-13	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	1204618577	B	1	0	50	1	0	2	1	1.3857998236863647e-16	1.3888888888888889e-12	0.0436	1.3857998236863647e-16	0.0436
baseline1	2228964607	B	1	0	50	0	3	2	1	1.3857998236863647e-16	1.3888888888888889e-12	0.0436	1.3857998236863647e-16	0.0436
baseline1	226605369	B	1	0	100	0	2	2	1	1.5158534213368129e-16	2.7777777777777777e-12	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	1173073351	B	1	0	100	0	2	2	1	1.5158534213368129e-16	2.7777777777777777e-12	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	2789900408	B	1	0	100	3	1	2	1	1.2615782258299533e-16	2.7777777777777777e-12	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	2897250769	B	1	0	100	1	2	2	1	1.5158534213368129e-16	2.7777777777777777e-12	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	2938087393	B	1	1	100	3	2	2	1	1.3857998236863647e-16	2.7777777777777777e-12	0.0436	1.3857998236863647e-16	0.0436
baseline1	4102789155	B	1	0	100	3	1	2	1	1.2615782258299533e-16	2.7777777777777777e-12	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	3047524809	A	0	0	2	1	0	2	1	1.1431886277770274e-16	1	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
baseline1	124324486	A	0	0	5	2	0	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
baseline1	296355536	A	0	0	5	1	2	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
baseline1	555001636	A	0	0	5	4	1	2	1	1.2615782258299533e-16	1	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	869446078	A	0	0	5	1	2	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
baseline1	1441583064	A	0	0	5	1	3	1	0	1.2311999924207329e-08	1	0.045600000000000002	1.2311999924207329e-08	0.045600000000000002
baseline1	1881511351	A	0	0	5	2	0	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
baseline1	2785635689	A	0	1	5	2	1	2	1	1.2615782258299533e-16	1	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	11384668	A	0	0	10	3	0	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	36388572	A	0	0	10	0	1	2	1	2.7662341939919932e-16	1	0.061600000000000002	2.7662341939919932e-16	0.061600000000000002
baseline1	168337547	A	0	0	10	0	2	2	1	1.2615782258299533e-16	1	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	235766176	A	0	0	10	0	1	2	1	2.7662341939919932e-16	1	0.061600000000000002	2.7662341939919932e-16	0.061600000000000002
baseline1	361448172	A	0	0	10	1	0	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
baseline1	410879818	A	0	0	10	1	2	1	0	1.285199991741305e-08	1	0.047600000000000003	1.285199991741305e-08	0.047600000000000003
baseline1	506139370	A	0	0	10	2	0	2	1	1.3857998236863647e-16	1	0.0436	1.3857998236863647e-16	0.0436
baseline1	581727905	A	0	0	10	1	2	2	1	1.5158534213368129e-16	1	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	627938609	A	0	0	10	3	2	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
baseline1	735978261	A	0	0	10	2	4	1	0	1.4471999895280609e-08	1	0.053600000000000002	1.4471999895280609e-08	0.053600000000000002
baseline1	738246068	A	0	0	10	3	4	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
baseline1	984584757	A	0	0	10	1	2	2	1	1.5158534213368129e-16	1	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	1016692647	A	0	0	10	2	1	2	1	1.3857998236863647e-16	1	0.0436	1.3857998236863647e-16	0.0436
baseline1	1017974888	A	0	0	10	1	0	2	1	1.6517390187718504e-16	1	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	1031911855	A	0	1	10	0	1	2	1	2.7662341939919932e-16	1	0.061600000000000002	2.7662341939919932e-16	0.061600000000000002
baseline1	1041098508	A	0	0	10	1	2	2	1	1.5158534213368129e-16	1	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	1066414348	A	0	0	10	1	0	2	1	1.6517390187718504e-16	1	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	1078766928	A	0	0	10	3	2	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
baseline1	1098593361	A	0	0	10	2	1	2	1	1.2615782258299533e-16	1	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	1305036828	A	0	0	10	1	3	2	1	1.6517390187718504e-16	1	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	1482500791	A	0	0	10	3	0	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	1559628402	A	0	0	10	1	3	2	1	1.6517390187718504e-16	1	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	1820145391	A	0	0	10	1	0	1	0	1.1771999930710009e-08	1	0.0436	1.1771999930710009e-08	0.0436
baseline1	1826914532	A	0	0	10	0	2	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	1898761066	A	0	0	10	2	1	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	2010054352	A	0	0	10	1	3	2	1	1.6517390187718504e-16	1	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	2010944987	A	0	0	10	2	0	2	1	1.6517390187718504e-16	1	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	2063315710	A	0	1	10	1	2	2	1	1.5158534213368129e-16	1	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
baseline1	2110518944	A	0	0	10	0	3	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
baseline1	2135113717	A	0	0	10	2	1	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	2151318199	A	0	0	10	1	4	2	1	1.2615782258299533e-16	1	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
baseline1	2152536909	A	0	0	10	0	2	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	2255395839	A	0	0	10	0	1	2	1	2.7662341939919932e-16	1	0.061600000000000002	2.7662341939919932e-16	0.061600000000000002
baseline1	2277457209	A	0	0	10	0	2	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	2601566917	A	0	0	10	0	2	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
baseline1	2740226219	A	0	1	10	2	0	2	1	1.6517390187718504e-16	1	0.047600000000000003	1.6517390187718504e-16	0.047600000000000003
baseline1	2901499394	A	0	0	10	2	1	2	1	2.0943878096900196e-16	1	0.053600000000000002	2.0943878096900196e-16	0.053600000000000002
