# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_121049\retry_probability_reports\E5S80_5ecu_80signals_056.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.27431719999999987	0.27431719999999987	80	20	1
baseline1	0.28343720000000006	0.28343720000000006	80	45	1
baseline2	0.2266824734058725	0.22668240000000003	80	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	60	0.054394613333360806	0.15640000000024656
foundation	B	8	0.055068500000036019	0.11280000000022028
foundation	C	8	0.037559950000007759	0.087920000000019621
foundation	D	4	0.035416500000007324	0.06772000000001413
baseline1	A	60	0.061871953333367029	0.12872000000003253
baseline1	B	8	0.052871500000040539	0.099000000000245336
baseline1	C	8	0.034521900000008668	0.096640000000024887
baseline1	D	4	0.040264400000009949	0.080600000000021058
baseline2	A	60	0.04478190666666667	0.16239999999999999
baseline2	B	8	0.032720000000000006	0.10100000000000001
baseline2	C	8	0.024034249999999993	0.076439999999999994
baseline2	D	4	0.027549600000000004	0.052680000000000018

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	60	3.9933332535586653e-08	4.3599999049520024e-08
foundation	B	8	1.5780599373029061e-15	1.6473599331171859e-15
foundation	C	8	1.5780599373029061e-15	1.6473599331171859e-15
foundation	D	4	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	A	60	2.3233333558993319e-08	4.3599999049520024e-08
baseline1	B	8	1.608759935427826e-15	1.7305599280087053e-15
baseline1	C	8	1.608759935427826e-15	1.7305599280087053e-15
baseline1	D	4	1.5681599379008662e-15	1.5681599379008662e-15
baseline2	A	60	1.1102230246251566e-17	1.1102230246251565e-16
baseline2	B	8	0	0
baseline2	C	8	2.7755575615628914e-17	1.1102230246251565e-16
baseline2	D	4	2.7755575615628914e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	60	0
foundation	B	8	8
foundation	C	8	8
foundation	D	4	4
baseline1	A	60	25
baseline1	B	8	8
baseline1	C	8	8
baseline1	D	4	4
baseline2	A	60	0
baseline2	B	8	0
baseline2	C	8	0
baseline2	D	4	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	3196620944	A	0	0	20	3	0	1	0	3.9599999215920021e-08	1	0.91880000000020345	3.95999991686935e-08	0.91880000000020345	0.91880000000020345
foundation	3431469966	A	0	0	20	3	0	1	0	3.9599999215920021e-08	1	0.91880000000020345	3.95999991686935e-08	0.91880000000020345	0.91880000000020345
foundation	3625483184	A	0	0	20	2	3	1	0	3.9599999215920021e-08	1	1.2356000000002609	3.95999991686935e-08	1.2356000000002609	1.2356000000002609
foundation	4028489207	A	0	0	20	4	0	1	0	3.9599999215920021e-08	1	0.83960000000018908	3.95999991686935e-08	0.83960000000018908	0.83960000000018908
foundation	4191251511	A	0	0	20	4	1	1	0	3.9599999215920021e-08	1	0.59800000000012687	3.95999991686935e-08	0.59800000000012687	0.59800000000012687
foundation	1486846025	A	0	1	50	4	0	1	0	3.9599999215920021e-08	1	1.5920000000003256	3.95999991686935e-08	1.5920000000003256	1.5920000000003256
foundation	2635014915	A	0	0	50	4	3	1	0	3.9599999215920021e-08	1	1.5524000000003184	3.95999991686935e-08	1.5524000000003184	1.5524000000003184
foundation	1859172	A	0	0	100	4	2	1	0	3.9599999215920021e-08	1	1.7108000000003472	3.95999991686935e-08	1.7108000000003472	1.7108000000003472
foundation	718481836	A	0	0	100	3	2	1	0	3.9599999215920021e-08	1	2.3840000000004693	3.95999991686935e-08	2.3840000000004693	2.3840000000004693
foundation	1095329743	A	0	0	100	0	4	1	0	3.9599999215920021e-08	1	1.67120000000034	3.95999991686935e-08	1.67120000000034	1.67120000000034
foundation	1268943442	A	0	0	100	2	3	1	0	3.9599999215920021e-08	1	2.3048000000004549	3.95999991686935e-08	2.3048000000004549	2.3048000000004549
foundation	2477175790	A	0	0	100	1	3	1	0	3.9599999215920021e-08	1	2.3444000000004621	3.95999991686935e-08	2.3444000000004621	2.3444000000004621
foundation	3075831693	A	0	0	100	4	1	1	0	3.9599999215920021e-08	1	1.8692000000003759	3.95999991686935e-08	1.8692000000003759	1.8692000000003759
foundation	3112478732	A	0	0	100	4	3	1	0	3.9599999215920021e-08	1	1.5524000000003184	3.95999991686935e-08	1.5524000000003184	1.5524000000003184
foundation	3975902859	A	0	0	100	2	0	1	0	3.9599999215920021e-08	1	2.0276000000004046	3.95999991686935e-08	2.0276000000004046	2.0276000000004046
foundation	4260327301	A	0	0	100	1	3	1	0	3.9599999215920021e-08	1	2.3444000000004621	3.95999991686935e-08	2.3444000000004621	2.3444000000004621
foundation	2722942494	A	0	0	1000	3	0	1	0	3.9599999215920021e-08	1	2.7008000000000028	3.95999991686935e-08	2.7008000000000028	2.7008000000000028
baseline1	3067198399	D	3	0	10	1	3	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.80600000000021055	1.5543122344752192e-15	0.80600000000021055	0.80600000000021055
baseline1	1778228525	D	3	0	20	2	4	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.1644000000002848	1.5543122344752192e-15	1.1644000000002848	1.1644000000002848
baseline1	275203449	D	3	0	100	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.9604000000004476	1.5543122344752192e-15	1.9604000000004476	1.9604000000004476
baseline1	3765273958	D	3	0	1000	3	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.6336000000000026	1.5543122344752192e-15	2.6336000000000026	2.6336000000000026
baseline1	1642356903	C	2	0	10	4	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.96640000000024884	1.5543122344752192e-15	0.96640000000024884	0.96640000000024884
baseline1	2505922055	C	2	0	10	4	1	2	1	1.7305599280087053e-15	2.7777777777777779e-13	0.64760000000018181	1.6653345369377348e-15	0.64760000000018181	0.64760000000018181
baseline1	3631648651	C	2	0	20	4	3	2	1	1.7305599280087053e-15	5.5555555555555559e-13	0.84760000000022728	1.6653345369377348e-15	0.84760000000022728	0.84760000000022728
